instance_id,training_split,scale,CF_level,RI_level,TI_level,replicate,base_structure,base_generation_seed,final_generation_seed,trajectory_seed,state_sampling_seed,counterfactual_arm_seed_namespace,repair_seed_namespace,relative_path,sha256
CB1_TRAIN_S_CF1_RI1_TI1_R01,TRAIN,S,CF1,RI1,TI1,R01,CB1_TRAIN_BASE_S_CF1_R01,661111,661111001,662011100,663011100,664000000,665000000,train/CB1_TRAIN_S_CF1_RI1_TI1_R01.json,81bd68962c40fb32b9ffd02d505e8d068790d88866398ea9e4f03f668b271885
CB1_TRAIN_S_CF1_RI1_TI2_R01,TRAIN,S,CF1,RI1,TI2,R01,CB1_TRAIN_BASE_S_CF1_R01,661111,661111001,662011101,663011101,664000000,665000000,train/CB1_TRAIN_S_CF1_RI1_TI2_R01.json,b127c83a1bef50986af3c33f0a09f5156a8c782fab8b279d7cd8e987e423a00a
CB1_TRAIN_S_CF1_RI1_TI3_R01,TRAIN,S,CF1,RI1,TI3,R01,CB1_TRAIN_BASE_S_CF1_R01,661111,661111001,662011102,663011102,664000000,665000000,train/CB1_TRAIN_S_CF1_RI1_TI3_R01.json,eba683e55aa3eba7c2f87e1e610eecd4e3ac09b39237a8455609ebc96ebaf792
CB1_TRAIN_S_CF1_RI2_TI1_R01,TRAIN,S,CF1,RI2,TI1,R01,CB1_TRAIN_BASE_S_CF1_R01,661111,661111001,662011110,663011110,664000000,665000000,train/CB1_TRAIN_S_CF1_RI2_TI1_R01.json,03f91b9048286398f9f768d2cb2ab80a61af42e505a5803596ab1fd0ecc45ba0
CB1_TRAIN_S_CF1_RI2_TI2_R01,TRAIN,S,CF1,RI2,TI2,R01,CB1_TRAIN_BASE_S_CF1_R01,661111,661111001,662011111,663011111,664000000,665000000,train/CB1_TRAIN_S_CF1_RI2_TI2_R01.json,be3324809a2267aad76a4c41a42e116a5a9ce05652ffb6a44fe20f64e4d11f1e
CB1_TRAIN_S_CF1_RI2_TI3_R01,TRAIN,S,CF1,RI2,TI3,R01,CB1_TRAIN_BASE_S_CF1_R01,661111,661111001,662011112,663011112,664000000,665000000,train/CB1_TRAIN_S_CF1_RI2_TI3_R01.json,5eaa2f3787c4661579c6199b496dee8cfb9ce06477ec650313c22c980a904801
CB1_TRAIN_S_CF1_RI3_TI1_R01,TRAIN,S,CF1,RI3,TI1,R01,CB1_TRAIN_BASE_S_CF1_R01,661111,661111001,662011120,663011120,664000000,665000000,train/CB1_TRAIN_S_CF1_RI3_TI1_R01.json,4bd4290e21c5c8c4f21a091bfd20830be82f99820918069d543c8301a3289a78
CB1_TRAIN_S_CF1_RI3_TI2_R01,TRAIN,S,CF1,RI3,TI2,R01,CB1_TRAIN_BASE_S_CF1_R01,661111,661111001,662011121,663011121,664000000,665000000,train/CB1_TRAIN_S_CF1_RI3_TI2_R01.json,8bab22e2cafe3595c52098b80838f45fef7e52dd6361e95e3c9abf687327b99e
CB1_TRAIN_S_CF1_RI3_TI3_R01,TRAIN,S,CF1,RI3,TI3,R01,CB1_TRAIN_BASE_S_CF1_R01,661111,661111001,662011122,663011122,664000000,665000000,train/CB1_TRAIN_S_CF1_RI3_TI3_R01.json,87c755d3c102b9ba7156cd84748f57bf133613bac07a5c8279f04a28227dd65d
CB1_TRAIN_S_CF1_RI1_TI1_R02,TRAIN,S,CF1,RI1,TI1,R02,CB1_TRAIN_BASE_S_CF1_R02,661112,661112001,662011200,663011200,664000000,665000000,train/CB1_TRAIN_S_CF1_RI1_TI1_R02.json,92336c318501d2d856adbf50c529325570944c7b4be5d0f01c05e88d6b25b9dd
