instance_id,training_split,scale,CF_level,RI_level,TI_level,replicate,base_structure,family,number_of_products,number_of_operations,number_of_islands,number_of_W_AGVs,number_of_F_AGVs,number_of_configurations,number_of_precedence_edges,F_route_mean,F_route_median,R_full_op,R_high_op,F_route_min,F_route_max,F_cap_mean,R_full_island,capability_heterogeneity,capability_selectivity_mean,capability_selectivity_median,capability_selectivity_std,capability_selectivity_min,capability_selectivity_max,processing_CV_mean,processing_CV_median,processing_CV_p90,processing_min_max_ratio_mean,mean_processing_time,precedence_edge_density,mean_predecessor_count,mean_successor_count,number_of_source_operations,number_of_sink_operations,mean_ready_set_size,max_ready_set_size,mean_reconfiguration_time,median_reconfiguration_time,maximum_reconfiguration_time,nonzero_reconfiguration_std,nonzero_reconfiguration_CV,RI,configuration_diversity_entropy,nonzero_offdiagonal_reconfiguration_ratio,W_transport_intensity,F_transport_intensity,operations_per_W_AGV,operations_per_F_AGV,islands_per_W_AGV,islands_per_F_AGV,configuration_entropy
CB1_TRAIN_S_CF1_RI1_TI1_R01,TRAIN,S,CF1,RI1,TI1,R01,CB1_TRAIN_BASE_S_CF1_R01,Unknown,8,59,7,2,2,5,89,0.2857142857142857,0.2857142857142857,0.0,0.0,0.2857142857142857,0.2857142857142857,0.34285714285714286,0.0,0.17612611437054218,0.34285714285714286,0.2857142857142857,0.06998542122237651,0.2857142857142857,0.42857142857142855,0.3310469483697035,0.3333333333333333,0.37317412935323385,0.5034198856159539,62.83050847457627,0.4517766497461929,1.5084745762711864,1.5084745762711864,8,8,5.288135593220339,11,6.961538461538462,7.0,25.0,5.787477685415614,0.44765020771170494,0.20576900843963158,0.9341234940747416,1.0,0.2740507823037497,0.5013487995683842,29.5,29.5,3.5,3.5,0.9341234940747416
CB1_TRAIN_S_CF1_RI1_TI2_R01,TRAIN,S,CF1,RI1,TI2,R01,CB1_TRAIN_BASE_S_CF1_R01,Unknown,8,59,7,2,2,5,89,0.2857142857142857,0.2857142857142857,0.0,0.0,0.2857142857142857,0.2857142857142857,0.34285714285714286,0.0,0.17612611437054218,0.34285714285714286,0.2857142857142857,0.06998542122237651,0.2857142857142857,0.42857142857142855,0.3310469483697035,0.3333333333333333,0.37317412935323385,0.5034198856159539,62.83050847457627,0.4517766497461929,1.5084745762711864,1.5084745762711864,8,8,5.288135593220339,11,6.961538461538462,7.0,25.0,5.787477685415614,0.44765020771170494,0.20576900843963158,0.9341234940747416,1.0,0.5490963042891827,1.0038344444872636,29.5,29.5,3.5,3.5,0.9341234940747416
CB1_TRAIN_S_CF1_RI1_TI3_R01,TRAIN,S,CF1,RI1,TI3,R01,CB1_TRAIN_BASE_S_CF1_R01,Unknown,8,59,7,2,2,5,89,0.2857142857142857,0.2857142857142857,0.0,0.0,0.2857142857142857,0.2857142857142857,0.34285714285714286,0.0,0.17612611437054218,0.34285714285714286,0.2857142857142857,0.06998542122237651,0.2857142857142857,0.42857142857142855,0.3310469483697035,0.3333333333333333,0.37317412935323385,0.5034198856159539,62.83050847457627,0.4517766497461929,1.5084745762711864,1.5084745762711864,8,8,5.288135593220339,11,6.961538461538462,7.0,25.0,5.787477685415614,0.44765020771170494,0.20576900843963158,0.9341234940747416,1.0,1.0981926085783653,2.007668888974527,29.5,29.5,3.5,3.5,0.9341234940747416
CB1_TRAIN_S_CF1_RI2_TI1_R01,TRAIN,S,CF1,RI2,TI1,R01,CB1_TRAIN_BASE_S_CF1_R01,Unknown,8,59,7,2,2,5,89,0.2857142857142857,0.2857142857142857,0.0,0.0,0.2857142857142857,0.2857142857142857,0.34285714285714286,0.0,0.17612611437054218,0.34285714285714286,0.2857142857142857,0.06998542122237651,0.2857142857142857,0.42857142857142855,0.3310469483697035,0.3333333333333333,0.37317412935323385,0.5034198856159539,62.83050847457627,0.4517766497461929,1.5084745762711864,1.5084745762711864,8,8,5.288135593220339,11,14.115384615384615,14.0,50.0,11.402872892568856,0.4349869768282397,0.4172222436317392,0.9341234940747416,1.0,0.2740507823037497,0.5013487995683842,29.5,29.5,3.5,3.5,0.9341234940747416
CB1_TRAIN_S_CF1_RI2_TI2_R01,TRAIN,S,CF1,RI2,TI2,R01,CB1_TRAIN_BASE_S_CF1_R01,Unknown,8,59,7,2,2,5,89,0.2857142857142857,0.2857142857142857,0.0,0.0,0.2857142857142857,0.2857142857142857,0.34285714285714286,0.0,0.17612611437054218,0.34285714285714286,0.2857142857142857,0.06998542122237651,0.2857142857142857,0.42857142857142855,0.3310469483697035,0.3333333333333333,0.37317412935323385,0.5034198856159539,62.83050847457627,0.4517766497461929,1.5084745762711864,1.5084745762711864,8,8,5.288135593220339,11,14.115384615384615,14.0,50.0,11.402872892568856,0.4349869768282397,0.4172222436317392,0.9341234940747416,1.0,0.5490963042891827,1.0038344444872636,29.5,29.5,3.5,3.5,0.9341234940747416
CB1_TRAIN_S_CF1_RI2_TI3_R01,TRAIN,S,CF1,RI2,TI3,R01,CB1_TRAIN_BASE_S_CF1_R01,Unknown,8,59,7,2,2,5,89,0.2857142857142857,0.2857142857142857,0.0,0.0,0.2857142857142857,0.2857142857142857,0.34285714285714286,0.0,0.17612611437054218,0.34285714285714286,0.2857142857142857,0.06998542122237651,0.2857142857142857,0.42857142857142855,0.3310469483697035,0.3333333333333333,0.37317412935323385,0.5034198856159539,62.83050847457627,0.4517766497461929,1.5084745762711864,1.5084745762711864,8,8,5.288135593220339,11,14.115384615384615,14.0,50.0,11.402872892568856,0.4349869768282397,0.4172222436317392,0.9341234940747416,1.0,1.0981926085783653,2.007668888974527,29.5,29.5,3.5,3.5,0.9341234940747416
CB1_TRAIN_S_CF1_RI3_TI1_R01,TRAIN,S,CF1,RI3,TI1,R01,CB1_TRAIN_BASE_S_CF1_R01,Unknown,8,59,7,2,2,5,89,0.2857142857142857,0.2857142857142857,0.0,0.0,0.2857142857142857,0.2857142857142857,0.34285714285714286,0.0,0.17612611437054218,0.34285714285714286,0.2857142857142857,0.06998542122237651,0.2857142857142857,0.42857142857142855,0.3310469483697035,0.3333333333333333,0.37317412935323385,0.5034198856159539,62.83050847457627,0.4517766497461929,1.5084745762711864,1.5084745762711864,8,8,5.288135593220339,11,28.23076923076923,28.0,100.0,22.805745785137713,0.4349869768282397,0.8344444872634784,0.9341234940747416,1.0,0.2740507823037497,0.5013487995683842,29.5,29.5,3.5,3.5,0.9341234940747416
CB1_TRAIN_S_CF1_RI3_TI2_R01,TRAIN,S,CF1,RI3,TI2,R01,CB1_TRAIN_BASE_S_CF1_R01,Unknown,8,59,7,2,2,5,89,0.2857142857142857,0.2857142857142857,0.0,0.0,0.2857142857142857,0.2857142857142857,0.34285714285714286,0.0,0.17612611437054218,0.34285714285714286,0.2857142857142857,0.06998542122237651,0.2857142857142857,0.42857142857142855,0.3310469483697035,0.3333333333333333,0.37317412935323385,0.5034198856159539,62.83050847457627,0.4517766497461929,1.5084745762711864,1.5084745762711864,8,8,5.288135593220339,11,28.23076923076923,28.0,100.0,22.805745785137713,0.4349869768282397,0.8344444872634784,0.9341234940747416,1.0,0.5490963042891827,1.0038344444872636,29.5,29.5,3.5,3.5,0.9341234940747416
CB1_TRAIN_S_CF1_RI3_TI3_R01,TRAIN,S,CF1,RI3,TI3,R01,CB1_TRAIN_BASE_S_CF1_R01,Unknown,8,59,7,2,2,5,89,0.2857142857142857,0.2857142857142857,0.0,0.0,0.2857142857142857,0.2857142857142857,0.34285714285714286,0.0,0.17612611437054218,0.34285714285714286,0.2857142857142857,0.06998542122237651,0.2857142857142857,0.42857142857142855,0.3310469483697035,0.3333333333333333,0.37317412935323385,0.5034198856159539,62.83050847457627,0.4517766497461929,1.5084745762711864,1.5084745762711864,8,8,5.288135593220339,11,28.23076923076923,28.0,100.0,22.805745785137713,0.4349869768282397,0.8344444872634784,0.9341234940747416,1.0,1.0981926085783653,2.007668888974527,29.5,29.5,3.5,3.5,0.9341234940747416
CB1_TRAIN_S_CF1_RI1_TI1_R02,TRAIN,S,CF1,RI1,TI1,R02,CB1_TRAIN_BASE_S_CF1_R02,Unknown,8,56,7,2,2,5,83,0.2857142857142857,0.2857142857142857,0.0,0.0,0.2857142857142857,0.2857142857142857,0.34285714285714286,0.0,0.17612611437054218,0.34285714285714286,0.2857142857142857,0.06998542122237651,0.2857142857142857,0.42857142857142855,0.32430522455491895,0.32466216216216215,0.36504524886877826,0.5110098293520021,62.642857142857146,0.4715909090909091,1.4821428571428572,1.4821428571428572,8,8,5.053571428571429,9,7.269230769230769,8.0,22.0,3.640054944640259,0.26963369960298217,0.21550741163055873,0.9548248673600879,1.0,0.27462229190421894,0.4994298745724059,28.0,28.0,3.5,3.5,0.9548248673600879
