instance_id,suite,scale,CF_level,RI_level,TI_level,replicate,base_structure,base_seed,accepted_attempt,final_seed,target_F_cap,realized_F_cap,target_F_route,realized_F_route,target_processing_CV,realized_processing_CV,target_RI,realized_RI,realized_W_TI,realized_F_TI,configuration_entropy,R_full_op,R_full_island,number_of_operations,relative_path
CB1_SENS_M_CF2_RI1_TI1_R01,SENS,M,CF2,RI1,TI1,R01,SENS_R01,553001,1,553001001,0.5,0.5,0.38,0.3491666666666667,0.20-0.45,0.32187685396469173,0.2,0.21098376626930695,0.27489297035303883,0.4998564011929747,0.9428834689880079,0.0,0.0,120,sensitivity/CB1_SENS_M_CF2_RI1_TI1_R01.json
CB1_SENS_M_CF2_RI1_TI2_R01,SENS,M,CF2,RI1,TI2,R01,SENS_R01,553001,1,553001001,0.5,0.5,0.38,0.3491666666666667,0.20-0.45,0.32187685396469173,0.2,0.21098376626930695,0.5500409434615072,1.001255569056298,0.9428834689880079,0.0,0.0,120,sensitivity/CB1_SENS_M_CF2_RI1_TI2_R01.json
CB1_SENS_M_CF2_RI1_TI3_R01,SENS,M,CF2,RI1,TI3,R01,SENS_R01,553001,1,553001001,0.5,0.5,0.38,0.3491666666666667,0.20-0.45,0.32187685396469173,0.2,0.21098376626930695,1.1000818869230145,2.002511138112596,0.9428834689880079,0.0,0.0,120,sensitivity/CB1_SENS_M_CF2_RI1_TI3_R01.json
CB1_SENS_M_CF2_RI2_TI1_R01,SENS,M,CF2,RI2,TI1,R01,SENS_R01,553001,1,553001001,0.5,0.5,0.38,0.3491666666666667,0.20-0.45,0.32187685396469173,0.4,0.42050815866125707,0.27489297035303883,0.4998564011929747,0.9428834689880079,0.0,0.0,120,sensitivity/CB1_SENS_M_CF2_RI2_TI1_R01.json
CB1_SENS_M_CF2_RI2_TI2_R01,SENS,M,CF2,RI2,TI2,R01,SENS_R01,553001,1,553001001,0.5,0.5,0.38,0.3491666666666667,0.20-0.45,0.32187685396469173,0.4,0.42050815866125707,0.5500409434615072,1.001255569056298,0.9428834689880079,0.0,0.0,120,sensitivity/CB1_SENS_M_CF2_RI2_TI2_R01.json
CB1_SENS_M_CF2_RI2_TI3_R01,SENS,M,CF2,RI2,TI3,R01,SENS_R01,553001,1,553001001,0.5,0.5,0.38,0.3491666666666667,0.20-0.45,0.32187685396469173,0.4,0.42050815866125707,1.1000818869230145,2.002511138112596,0.9428834689880079,0.0,0.0,120,sensitivity/CB1_SENS_M_CF2_RI2_TI3_R01.json
CB1_SENS_M_CF2_RI3_TI1_R01,SENS,M,CF2,RI3,TI1,R01,SENS_R01,553001,1,553001001,0.5,0.5,0.38,0.3491666666666667,0.20-0.45,0.32187685396469173,0.8,0.8410163173225141,0.27489297035303883,0.4998564011929747,0.9428834689880079,0.0,0.0,120,sensitivity/CB1_SENS_M_CF2_RI3_TI1_R01.json
CB1_SENS_M_CF2_RI3_TI2_R01,SENS,M,CF2,RI3,TI2,R01,SENS_R01,553001,1,553001001,0.5,0.5,0.38,0.3491666666666667,0.20-0.45,0.32187685396469173,0.8,0.8410163173225141,0.5500409434615072,1.001255569056298,0.9428834689880079,0.0,0.0,120,sensitivity/CB1_SENS_M_CF2_RI3_TI2_R01.json
CB1_SENS_M_CF2_RI3_TI3_R01,SENS,M,CF2,RI3,TI3,R01,SENS_R01,553001,1,553001001,0.5,0.5,0.38,0.3491666666666667,0.20-0.45,0.32187685396469173,0.8,0.8410163173225141,1.1000818869230145,2.002511138112596,0.9428834689880079,0.0,0.0,120,sensitivity/CB1_SENS_M_CF2_RI3_TI3_R01.json
CB1_SENS_M_CF2_RI1_TI1_R02,SENS,M,CF2,RI1,TI1,R02,SENS_R02,553002,1,553002001,0.5,0.5,0.38,0.34144144144144145,0.20-0.45,0.32627673247294103,0.2,0.20847816902208666,0.27447320218794224,0.49680445555037905,0.9695399852174694,0.0,0.0,111,sensitivity/CB1_SENS_M_CF2_RI1_TI1_R02.json
CB1_SENS_M_CF2_RI1_TI2_R02,SENS,M,CF2,RI1,TI2,R02,SENS_R02,553002,1,553002001,0.5,0.5,0.38,0.34144144144144145,0.20-0.45,0.32627673247294103,0.2,0.20847816902208666,0.5489464043758845,1.0016348312227352,0.9695399852174694,0.0,0.0,111,sensitivity/CB1_SENS_M_CF2_RI1_TI2_R02.json
CB1_SENS_M_CF2_RI1_TI3_R02,SENS,M,CF2,RI1,TI3,R02,SENS_R02,553002,1,553002001,0.5,0.5,0.38,0.34144144144144145,0.20-0.45,0.32627673247294103,0.2,0.20847816902208666,1.097892808751769,2.0032696624454704,0.9695399852174694,0.0,0.0,111,sensitivity/CB1_SENS_M_CF2_RI1_TI3_R02.json
CB1_SENS_M_CF2_RI2_TI1_R02,SENS,M,CF2,RI2,TI1,R02,SENS_R02,553002,1,553002001,0.5,0.5,0.38,0.34144144144144145,0.20-0.45,0.32627673247294103,0.4,0.420284158582554,0.27447320218794224,0.49680445555037905,0.9695399852174694,0.0,0.0,111,sensitivity/CB1_SENS_M_CF2_RI2_TI1_R02.json
CB1_SENS_M_CF2_RI2_TI2_R02,SENS,M,CF2,RI2,TI2,R02,SENS_R02,553002,1,553002001,0.5,0.5,0.38,0.34144144144144145,0.20-0.45,0.32627673247294103,0.4,0.420284158582554,0.5489464043758845,1.0016348312227352,0.9695399852174694,0.0,0.0,111,sensitivity/CB1_SENS_M_CF2_RI2_TI2_R02.json
CB1_SENS_M_CF2_RI2_TI3_R02,SENS,M,CF2,RI2,TI3,R02,SENS_R02,553002,1,553002001,0.5,0.5,0.38,0.34144144144144145,0.20-0.45,0.32627673247294103,0.4,0.420284158582554,1.097892808751769,2.0032696624454704,0.9695399852174694,0.0,0.0,111,sensitivity/CB1_SENS_M_CF2_RI2_TI3_R02.json
CB1_SENS_M_CF2_RI3_TI1_R02,SENS,M,CF2,RI3,TI1,R02,SENS_R02,553002,1,553002001,0.5,0.5,0.38,0.34144144144144145,0.20-0.45,0.32627673247294103,0.8,0.840568317165108,0.27447320218794224,0.49680445555037905,0.9695399852174694,0.0,0.0,111,sensitivity/CB1_SENS_M_CF2_RI3_TI1_R02.json
