original_path,sha256,classification,action,canonical_or_retained_path,last_authoritative_commit,reason,recovery
implementation_validation_report.md,a7b63cdd5d777d42c15452b0fb742a1e8ff7c07795009e8c87e6d2113b9ab42a,ARCHIVE_POINTER_ONLY,remove_superseded_document,docs/reports/phase2_final_validation_report.md,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c,Superseded by the retained Phase 2 final validation report.,git show fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c:implementation_validation_report.md
notes.txt,e3ba38c5856782b8a48939ee0c6d2812bd50c26e32f04688179cedfb46a17b2a,ARCHIVE_POINTER_ONLY,remove_superseded_document,docs/reports/phase2_final_validation_report.md,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c,Superseded by the retained Phase 2 final validation report.,git show fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c:notes.txt
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF1_R01/seed_530101.json,20e1639d5966fd39fcc6078516c9124e081be476b857cf078c0407b470e1b1db,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF1_R01/seed_530101.json,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c,Byte-identical duplicate; source and copy SHA256 match in reference_replay_audit.csv.,git show fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c:paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF1_R01/seed_530101.json
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF1_R01/seed_530102.json,c32d90c317423a52c47fa20a19ba6ecdb4cde27651ff969efeae0c56d689e66b,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF1_R01/seed_530102.json,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c,Byte-identical duplicate; source and copy SHA256 match in reference_replay_audit.csv.,git show fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c:paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF1_R01/seed_530102.json
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF1_R01/seed_530103.json,9108a1fb81dd4232002c882ad51f9c0084baa9b6204614ab08a9683a7fc75a3e,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF1_R01/seed_530103.json,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c,Byte-identical duplicate; source and copy SHA256 match in reference_replay_audit.csv.,git show fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c:paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF1_R01/seed_530103.json
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF1_R01/seed_530104.json,f8daa3d5fd94360829c6c54ef7f73eecec70fd3282d1c5bc0bd3ca0307233f3b,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF1_R01/seed_530104.json,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c,Byte-identical duplicate; source and copy SHA256 match in reference_replay_audit.csv.,git show fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c:paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF1_R01/seed_530104.json
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF1_R01/seed_530105.json,5646fa3b758113235e84c11f146e6e57a00ae750152420efed97b9eb71964ffe,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF1_R01/seed_530105.json,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c,Byte-identical duplicate; source and copy SHA256 match in reference_replay_audit.csv.,git show fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c:paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF1_R01/seed_530105.json
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF1_R02/seed_530101.json,ca9107f5aad9b9caec3417997c2676b9612f644d47370f64e5f269368a22d440,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF1_R02/seed_530101.json,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c,Byte-identical duplicate; source and copy SHA256 match in reference_replay_audit.csv.,git show fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c:paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF1_R02/seed_530101.json
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF1_R02/seed_530102.json,361f25be209bdffc2a77d3d5de928ac1b67c9ff01ad18ab9798461e640ef11d2,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF1_R02/seed_530102.json,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c,Byte-identical duplicate; source and copy SHA256 match in reference_replay_audit.csv.,git show fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c:paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF1_R02/seed_530102.json
paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF1_R02/seed_530103.json,701489ec27d1d31cfa9211e028411d35aec7b6c158f1ec7ccc3c0ea89b99e023,ARCHIVE_POINTER_ONLY,remove_byte_identical_duplicate,paper_experiments/raw_results/core45/CSG_NI_PROVISIONAL_PHASE6H/runs/CB1_CORE_L_CF1_R02/seed_530103.json,fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c,Byte-identical duplicate; source and copy SHA256 match in reference_replay_audit.csv.,git show fa97fec6cac2a94cd1bdc39cbb8c0001f411fa2c:paper_experiments/ablation/raw_results/full_reference/runs/CB1_CORE_L_CF1_R02/seed_530103.json
